Source,Translation,Context
Grand Total,Tổng cộng,
Total Taxes and Charges,Tổng thuế và phí,
Rounded Total,Tổng đã làm tròn,
In Words,Bằng chữ,
Against Account,Tài khoản đối ứng,
Account Type,Loại tài khoản,
Account Number,Số tài khoản,
Root Type,Loại gốc,
Is Group,Là nhóm,
Parent Account,Tài khoản cha,
Balance,Số dư,
Opening Date,Ngày khai báo,
Accounting Dimension,Chiều phân tích,
Budget,Ngân sách,
Budget Variance Report,Báo cáo biến động ngân sách,
Monthly Distribution,Phân bổ theo tháng,
Finance Book,Sổ tài chính,
# ======================================================================
# Selling
# ======================================================================
Customer,Khách hàng,
Customer Group,Nhóm khách hàng,
Customer Name,Tên khách hàng,
Customer Code,Mã khách hàng,
Territory,Khu vực,
Sales Order,Đơn bán hàng,
Sales Invoice,Hóa đơn bán hàng,
Sales Return,Hàng bán trả lại,
Delivery Note,Phiếu xuất kho,
Quotation,Báo giá,
Sales Person,Nhân viên bán hàng,
Sales Partner,Đối tác bán hàng,
Commission Rate,Tỷ lệ hoa hồng,
Selling Settings,Cài đặt bán hàng,
Price List,Bảng giá,
Selling Price List,Bảng giá bán,
Item Price,Giá mặt hàng,
Offer,Khuyến mãi,
Promotional Scheme,Chương trình khuyến mãi,
Pricing Rule,Quy tắc giá,
POS,Điểm bán hàng,
POS Profile,Hồ sơ POS,
POS Invoice,Hóa đơn POS,
Loyalty Program,Chương trình khách hàng thân thiết,
Contact,Liên hệ,
Contact Person,Người liên hệ,
Lead,Khách hàng tiềm năng,
Opportunity,Cơ hội bán hàng,
Campaign,Chiến dịch,
# ======================================================================
# Buying
# ======================================================================
Supplier,Nhà cung cấp,
Supplier Group,Nhóm nhà cung cấp,
Supplier Name,Tên nhà cung cấp,
Supplier Code,Mã nhà cung cấp,
Purchase Order,Đơn mua hàng,
Purchase Invoice,Hóa đơn mua hàng,
Purchase Receipt,Phiếu nhập kho,
Purchase Return,Hàng mua trả lại,
Request for Quotation,Yêu cầu báo giá,
Supplier Quotation,Báo giá nhà cung cấp,
Purchase Taxes and Charges,Thuế và phí mua hàng,
Buying Settings,Cài đặt mua hàng,
Buying Price List,Bảng giá mua,
Supplier Address,Địa chỉ nhà cung cấp,
RFQ,Yêu cầu báo giá,
Landed Cost,Chi phí nhập khẩu,
Landed Cost Voucher,Phiếu chi phí nhập khẩu,
# ======================================================================
# Stock
# ======================================================================
Item,Hàng hóa,
Item Code,Mã hàng,
Item Name,Tên hàng,
Item Group,Nhóm hàng,
Item Variant,Biến thể hàng,
Item Attribute,Thuộc tính hàng,
Brand,Thương hiệu,
UOM,Đơn vị tính,
Unit of Measure,Đơn vị tính,
Stock UOM,ĐVT tồn kho,
Conversion Factor,Hệ số quy đổi,
Warehouse,Kho,
Warehouse Type,Loại kho,
Stock Entry,Phiếu kho,
Stock Reconciliation,Kiểm kê kho,
Stock Ledger,Sổ kho,
Stock Balance,Tồn kho,
Material Issue,Xuất vật tư,
Material Receipt,Nhập vật tư,
Material Transfer,Chuyển kho,
Material Request,Phiếu yêu cầu vật tư,
Manufacture,Sản xuất,
Repack,Đóng gói lại,
Send to Subcontractor,Gửi gia công,
Batch,Lô hàng,
Batch No,Số lô,
Serial No,Số seri,
Bill of Materials,Định mức nguyên vật liệu,
BOM,ĐMNVL,
Item Tax,Thuế hàng hóa,
Stock Settings,Cài đặt kho,
Stock Levels,Mức tồn kho,
Reorder Level,Mức đặt hàng lại,
Reorder Qty,SL đặt hàng lại,
Min Order Qty,SL tối thiểu,
Safety Stock,Tồn kho an toàn,
Lead Time,Thời gian giao hàng,
Valuation Rate,Đơn giá định giá,
Valuation Method,Phương pháp định giá,
FIFO,Nhập trước xuất trước,
LIFO,Nhập sau xuất trước,
Moving Average,Bình quân di động,
Stock Value,Giá trị tồn kho,
Incoming Rate,Đơn giá nhập,
Outgoing Rate,Đơn giá xuất,
Quality Inspection,Kiểm tra chất lượng,
Pick List,Danh sách lấy hàng,
Packing Slip,Phiếu đóng gói,
Delivery Trip,Chuyến giao hàng,
Item Variants,Biến thể hàng hóa,
Default Warehouse,Kho mặc định,
Source Warehouse,Kho nguồn,
Target Warehouse,Kho đích,
Stock Aging,Tuổi hàng tồn kho,
Stock Projected Quantity,SL dự kiến,
Has Batch No,Có quản lý lô,
Has Serial No,Có quản lý số seri,
Manufacture Date,Ngày sản xuất,
Expiry Date,Ngày hết hạn,
Shelf Life,Hạn sử dụng,
# ======================================================================
# HR & Payroll
# ======================================================================
Employee,Nhân viên,
Employee ID,Mã nhân viên,
Employee Name,Tên nhân viên,
Employee Grade,Bậc nhân viên,
Employee Group,Nhóm nhân viên,
Department,Phòng ban,
Designation,Chức danh,
Branch,Chi nhánh,
Division,Bộ phận,
Reports To,Quản lý,
Date of Joining,Ngày vào làm,
Date of Birth,Ngày sinh,
Date of Retirement,Ngày nghỉ hưu,
Gender,Giới tính,
Male,Nam,
Female,Nữ,
Marital Status,Tình trạng hôn nhân,
Single,Độc thân,
Married,Đã kết hôn,
Nationality,Quốc tịch,
Blood Group,Nhóm máu,
Personal Email,Email cá nhân,
Company Email,Email công ty,
Current Address,Địa chỉ hiện tại,
Permanent Address,Địa chỉ thường trú,
Emergency Contact,Liên hệ khẩn cấp,
Bank Name,Tên ngân hàng,
Bank AC No,Số tài khoản ngân hàng,
Holiday List,Danh sách ngày nghỉ,
Holiday,Ngày nghỉ,
Attendance,Chấm công,
Attendance Request,Đơn xin chấm công,
Check In,Vào ca,
Check Out,Tan ca,
Shift Type,Loại ca làm việc,
Shift Assignment,Phân ca,
Work Hours,Giờ làm việc,
Overtime,Tăng ca,
Leave Application,Đơn xin nghỉ phép,
Leave Type,Loại nghỉ phép,
Leave Balance,Số ngày phép còn lại,
Leave Encashment,Thanh toán phép,
Leave Period,Kỳ phép,
Leave Allocation,Phân bổ nghỉ phép,
Compensatory Leave Request,Đơn xin nghỉ bù,
Annual Leave,Nghỉ phép năm,
Sick Leave,Nghỉ ốm,
Casual Leave,Nghỉ việc riêng,
Maternity Leave,Nghỉ thai sản,
Paternity Leave,Nghỉ chăm con,
Unpaid Leave,Nghỉ không lương,
Salary Slip,Phiếu lương,
Salary Structure,Cơ cấu lương,
Salary Structure Assignment,Phân công cơ cấu lương,
Salary Component,Thành phần lương,
Payroll Entry,Bảng lương,
Payroll Period,Kỳ lương,
Payroll Frequency,Tần suất trả lương,
Earning,Thu nhập,
Deduction,Khấu trừ,
Basic Salary,Lương cơ bản,
Gross Pay,Tổng thu nhập,
Net Pay,Thực lĩnh,
Total Earning,Tổng thu nhập,
Total Deduction,Tổng khấu trừ,
Working Days,Ngày công,
Payment Days,Ngày hưởng lương,
Leave Without Pay,Nghỉ không lương,
Loss of Pay,Lương bị trừ,
Allowance,Phụ cấp,
Bonus,Thưởng,
Incentive,Thưởng khuyến khích,
Employee Advance,Tạm ứng nhân viên,
Expense Claim,Đề nghị thanh toán,
Expense Type,Loại chi phí,
Recruitment,Tuyển dụng,
Job Opening,Vị trí tuyển dụng,
Job Applicant,Ứng viên,
Job Offer,Thư mời làm việc,
Appointment Letter,Thư bổ nhiệm,
Appraisal,Đánh giá,
Appraisal Template,Mẫu đánh giá,
Training Event,Sự kiện đào tạo,
Training Feedback,Phản hồi đào tạo,
Skill,Kỹ năng,
Goal,Mục tiêu,
KPI,Chỉ số KPI,
Employee Separation,Nghỉ việc,
Employee Grievance,Khiếu nại,
HR Settings,Cài đặt HR,
Payroll Settings,Cài đặt lương,
# ======================================================================
# Manufacturing
# ======================================================================
Work Order,Lệnh sản xuất,
Production Plan,Kế hoạch sản xuất,
Job Card,Phiếu công việc,
Workstation,Trạm làm việc,
Operation,Công đoạn,
Operation Cost,Chi phí công đoạn,
Routing,Định tuyến,
BOM Operation,Công đoạn ĐMNVL,
BOM Item,Vật tư ĐMNVL,
Sub Assembly,Cụm bán thành phẩm,
Raw Material,Nguyên vật liệu,
Finished Good,Thành phẩm,
Scrap,Phế liệu,
Manufacturing Settings,Cài đặt sản xuất,
Produced Qty,SL đã sản xuất,
Pending Qty,SL còn lại,
Planned Qty,SL kế hoạch,
Actual Start Date,Ngày bắt đầu thực tế,
Actual End Date,Ngày kết thúc thực tế,
Planned Start Date,Ngày bắt đầu kế hoạch,
Planned End Date,Ngày kết thúc kế hoạch,
# ======================================================================
# Projects
# ======================================================================
Project,Dự án,
Project Type,Loại dự án,
Task,Công việc,
Timesheet,Bảng chấm công,
Activity Type,Loại hoạt động,
Activity Cost,Chi phí hoạt động,
Project Template,Mẫu dự án,
Project Update,Cập nhật dự án,
Milestone,Cột mốc,
Progress,Tiến độ,
# ======================================================================
# CRM
# ======================================================================
Lead Source,Nguồn khách hàng,
Lead Owner,Người phụ trách,
Sales Funnel,Phễu bán hàng,
Prospect,Triển vọng,
Contract,Hợp đồng,
Appointment,Lịch hẹn,
Communication,Liên lạc,
Email Campaign,Chiến dịch email,
# ======================================================================
# Assets
# ======================================================================
Asset Category,Nhóm tài sản,
Asset Movement,Điều chuyển tài sản,
Asset Value Adjustment,Điều chỉnh giá trị tài sản,
Asset Maintenance,Bảo trì tài sản,
Asset Repair,Sửa chữa tài sản,
Asset Disposal,Thanh lý tài sản,
Location,Địa điểm,
Custodian,Người quản lý,
Purchase Date,Ngày mua,
Available for Use Date,Ngày đưa vào sử dụng,
Gross Purchase Amount,Nguyên giá,
Useful Life,Thời gian sử dụng,
# ======================================================================
# Vietnam-specific
# ======================================================================
Vietnam,Việt Nam,
Vietnamese,Tiếng Việt,
Vietnamese Dong,Đồng Việt Nam,
VND,VNĐ,
Tax Invoice,Hóa đơn thuế,
E-Invoice,Hóa đơn điện tử,
E-Invoice Number,Số hóa đơn điện tử,
E-Invoice Lookup Code,Mã tra cứu HĐĐT,
E-Invoice Status,Trạng thái HĐĐT,
Published,Đã phát hành,
Not Published,Chưa phát hành,
Replaced,Đã thay thế,
Adjusted,Đã điều chỉnh,
Personal Income Tax,Thuế thu nhập cá nhân,
Corporate Income Tax,Thuế thu nhập doanh nghiệp,
Social Insurance,Bảo hiểm xã hội,
Health Insurance,Bảo hiểm y tế,
Unemployment Insurance,Bảo hiểm thất nghiệp,
Union Fee,Kinh phí công đoàn,
Dependent,Người phụ thuộc,
Dependent Deduction,Giảm trừ người phụ thuộc,
Personal Deduction,Giảm trừ bản thân,
Taxable Income,Thu nhập tính thuế,
Tax Bracket,Bậc thuế,
Minimum Wage,Lương tối thiểu,
Wage Region,Vùng lương,
Base Salary,Lương cơ sở,
Insurance Salary,Lương đóng bảo hiểm,
Insurance Ceiling,Trần bảo hiểm,
Contract Type,Loại hợp đồng,
Probation,Thử việc,
Fixed Term,Xác định thời hạn,
Indefinite Term,Không xác định thời hạn,
Seasonal,Thời vụ,
Province,Tỉnh/Thành phố,
District,Quận/Huyện,
Ward,Phường/Xã,
Tax Authority,Cơ quan thuế,
Tax Period,Kỳ tính thuế,
Month,Tháng,
Quarter,Quý,
Year,Năm,
Annual,Hàng năm,
Quarterly,Hàng quý,
Monthly,Hàng tháng,
Weekly,Hàng tuần,
Daily,Hàng ngày,
# ======================================================================
# UI Actions & Buttons (Extended)
# ======================================================================
Menu,Menu,
Home,Trang chủ,
Back,Quay lại,
Next,Tiếp theo,
Previous,Trước đó,
Finish,Hoàn tất,
Reset,Đặt lại,
Clear,Xóa bộ lọc,
Apply,Áp dụng,
Discard,Bỏ thay đổi,
Continue,Tiếp tục,
Skip,Bỏ qua,
Retry,Thử lại,
Go,Đi,
Select,Chọn,
Select All,Chọn tất cả,
Deselect,Bỏ chọn,
Unselect All,Bỏ chọn tất cả,
Browse,Duyệt,
Upload File,Tải lên tệp,
Download File,Tải tệp xuống,
Send,Gửi,
Reply,Trả lời,
Forward,Chuyển tiếp,
Reply All,Trả lời tất cả,
Assign,Phân công,
Unassign,Bỏ phân công,
Assign To,Phân công cho,
Follow,Theo dõi,
Unfollow,Bỏ theo dõi,
Share,Chia sẻ,
Unshare,Bỏ chia sẻ,
Bookmark,Đánh dấu,
Star,Gắn sao,
Like,Thích,
Vote,Bình chọn,
Report This,Báo cáo,
More,Thêm,
Less,Ít hơn,
Show,Hiển thị,
Hide,Ẩn,
Show More,Xem thêm,
Show Less,Ẩn bớt,
Show Details,Xem chi tiết,
Expand,Mở rộng,
Collapse,Thu gọn,
Expand All,Mở rộng tất cả,
Collapse All,Thu gọn tất cả,
Zoom In,Phóng to,
Zoom Out,Thu nhỏ,
Full Screen,Toàn màn hình,
Exit Full Screen,Thoát toàn màn hình,
Refresh List,Làm mới danh sách,
Sort,Sắp xếp,
Sort By,Sắp xếp theo,
Ascending,Tăng dần,
Descending,Giảm dần,
Group By,Nhóm theo,
Filter By,Lọc theo,
Date Range,Khoảng thời gian,
Today,Hôm nay,
Yesterday,Hôm qua,
Tomorrow,Ngày mai,
This Week,Tuần này,
Last Week,Tuần trước,
Next Week,Tuần sau,
This Month,Tháng này,
Last Month,Tháng trước,
Next Month,Tháng sau,
This Quarter,Quý này,
Last Quarter,Quý trước,
This Year,Năm nay,
Last Year,Năm trước,
Last 7 Days,7 ngày qua,
Last 30 Days,30 ngày qua,
Last 90 Days,90 ngày qua,
Custom Range,Khoảng tùy chỉnh,
All Time,Mọi lúc,
# ======================================================================
# Status values
# ======================================================================
Closed,Đã đóng,
Pending,Đang chờ,
In Progress,Đang xử lý,
Completed,Đã hoàn thành,
On Hold,Tạm dừng,
Active,Đang hoạt động,
Inactive,Không hoạt động,
Enabled,Đã bật,
Disabled,Đã tắt,
Approved,Đã phê duyệt,
Rejected,Đã từ chối,
Paid,Đã thanh toán,
Unpaid,Chưa thanh toán,
Partly Paid,Thanh toán một phần,
Overdue,Quá hạn,
Expired,Đã hết hạn,
Valid,Còn hiệu lực,
Invalid,Không hợp lệ,
Verified,Đã xác minh,
Unverified,Chưa xác minh,
To Submit,Chưa xác nhận,
To Deliver,Chưa giao,
To Receive,Chưa nhận,
To Pay,Chưa trả,
To Bill,Chưa lập HĐ,
To Deliver and Bill,Chưa giao và chưa lập HĐ,
Delivered,Đã giao,
Received,Đã nhận,
Shipped,Đã chuyển,
Returned,Đã trả về,
Partially Delivered,Giao một phần,
Partially Received,Nhận một phần,
Partially Billed,Lập HĐ một phần,
Fully Paid,Đã trả đủ,
Fully Delivered,Đã giao đủ,
Fully Billed,Đã lập HĐ đủ,
# ======================================================================
# Messages
# ======================================================================
Not Set,Chưa đặt,
Not Specified,Chưa xác định,
Not Available,Không khả dụng,
No Data,Không có dữ liệu,
No Records,Không có bản ghi,
No Results Found,Không tìm thấy kết quả,
Please Select,Vui lòng chọn,
Please Enter,Vui lòng nhập,
Please Wait,Vui lòng chờ,
Are you sure?,Bạn có chắc không?,
This cannot be undone,Không thể hoàn tác,
Operation Successful,Thao tác thành công,
Operation Failed,Thao tác thất bại,
Access Denied,Không có quyền truy cập,
Session Expired,Phiên làm việc đã hết hạn,
Login Required,Yêu cầu đăng nhập,
Not Found,Không tìm thấy,
Server Error,Lỗi máy chủ,
Connection Lost,Mất kết nối,
Try Again Later,Vui lòng thử lại sau,
Record Updated,Bản ghi đã được cập nhật,
Record Deleted,Bản ghi đã được xóa,
Record Created,Bản ghi đã được tạo,
Field is Required,Trường bắt buộc,
Invalid Input,Dữ liệu không hợp lệ,
Cannot be Empty,Không được để trống,
Email Required,Email bắt buộc,
Invalid Email,Email không hợp lệ,
Duplicate Entry,Dữ liệu trùng lặp,
# ======================================================================
# Form common fields
# ======================================================================
Created,Được tạo,
Modified,Được sửa đổi,
Created By,Người tạo,
Modified By,Người sửa đổi,
Owner,Chủ sở hữu,
Assigned To,Được giao cho,
Priority,Độ ưu tiên,
High,Cao,
Medium,Trung bình,
Low,Thấp,
Urgent,Khẩn cấp,
Normal,Bình thường,
Color,Màu sắc,
Icon,Biểu tượng,
Image,Hình ảnh,
Attachment,Tệp đính kèm,
Attachments,Các tệp đính kèm,
File Name,Tên tệp,
File Size,Kích thước tệp,
File Type,Loại tệp,
Version,Phiên bản,
Revision,Bản sửa đổi,
Number,Số,
Code,Mã,
ID,Mã định danh,
Reference,Tham chiếu,
Remarks,Ghi chú,
Notes,Ghi chú,
Memo,Memo,
Signature,Chữ ký,
Reason,Lý do,
Purpose,Mục đích,
Details,Chi tiết,
Summary,Tóm tắt,
Full Name,Họ và tên,
First Name,Tên,
Last Name,Họ,
Middle Name,Tên đệm,
Date From,Từ ngày,
Date To,Đến ngày,
Time From,Từ giờ,
Time To,Đến giờ,
Start,Bắt đầu,
End,Kết thúc,
Start Date,Ngày bắt đầu,
End Date,Ngày kết thúc,
Start Time,Giờ bắt đầu,
End Time,Giờ kết thúc,
Duration,Thời lượng,
Frequency,Tần suất,
Hours,Giờ,
Minutes,Phút,
Seconds,Giây,
Days,Ngày,
Weeks,Tuần,
Months,Tháng,
Years,Năm,
# ======================================================================
# Numbers & units
# ======================================================================
First,Đầu tiên,
Second,Thứ hai,
Third,Thứ ba,
Last,Cuối cùng,
One,Một,
Two,Hai,
Many,Nhiều,
Several,Vài,
Each,Mỗi,
Per,Mỗi,
Percent,Phần trăm,
Percentage,Phần trăm,
Ratio,Tỷ lệ,
Count,Đếm,
Total Count,Tổng số lượng,
Average,Trung bình,
Minimum,Tối thiểu,
Maximum,Tối đa,
Sum,Tổng,
Difference,Chênh lệch,
Range,Khoảng,
# ======================================================================
# Accounting - extended
# ======================================================================
Journal,Nhật ký,
Ledger,Sổ,
Entry,Bút toán,
Entries,Các bút toán,
Payment,Thanh toán,
Payments,Các thanh toán,
Receipt,Biên nhận,
Receipts,Các biên nhận,
Voucher,Chứng từ,
Vouchers,Chứng từ,
Dunning,Thông báo nhắc nợ,
Cheque,Séc,
Cheque No,Số séc,
Cheque Date,Ngày séc,
Clearance Date,Ngày thanh toán sec,
Bank Transaction,Giao dịch ngân hàng,
Deposit,Gửi,
Withdrawal,Rút,
Transfer,Chuyển khoản,
Exchange,Quy đổi,
Foreign Currency,Ngoại tệ,
Local Currency,Nội tệ,
Account Currency,Tiền tệ tài khoản,
Base Currency,Tiền tệ cơ sở,
Opening Invoice,Hóa đơn đầu kỳ,
Point of Sale,Điểm bán hàng,
POS Settings,Cài đặt POS,
Opening Voucher,Chứng từ khai báo,
Closing Voucher,Chứng từ kết chuyển,
Budget Allocation,Phân bổ ngân sách,
Cash Flow,Lưu chuyển tiền tệ,
Retained Earnings,Lợi nhuận giữ lại,
Dividend,Cổ tức,
Dividends,Cổ tức,
Depreciation Schedule,Lịch khấu hao,
Depreciation Entry,Bút toán khấu hao,
Asset Register,Sổ tài sản,
Asset Depreciation,Khấu hao tài sản,
Accrual,Dồn tích,
Accrued Expense,Chi phí phải trả,
Accrued Income,Thu nhập phải thu,
Prepaid,Trả trước,
Deferred,Hoãn lại,
Provision,Dự phòng,
Write-off,Xóa nợ,
Bad Debt,Nợ xấu,
Discount Allowed,Chiết khấu cho khách hàng,
Discount Received,Chiết khấu từ nhà cung cấp,
Invoice Line,Dòng hóa đơn,
Line Item,Mặt hàng,
Line Total,Thành tiền,
Line Discount,Chiết khấu dòng,
Line Tax,Thuế dòng,
Payment Reconciliation,Đối chiếu thanh toán,
Party Account,Tài khoản đối tác,
Advance Payment,Tạm ứng thanh toán,
Refund,Hoàn tiền,
Refund Amount,Số tiền hoàn,
# ======================================================================
# HR & Payroll - extended
# ======================================================================
Shift,Ca làm việc,
Shift Schedule,Lịch ca làm việc,
Roster,Lịch trực,
Clock In,Điểm danh vào,
Clock Out,Điểm danh ra,
Break,Nghỉ giữa ca,
Overtime Hours,Số giờ tăng ca,
Overtime Rate,Đơn giá tăng ca,
Night Shift,Ca đêm,
Day Shift,Ca ngày,
Weekend,Cuối tuần,
Weekday,Ngày thường,
Public Holiday,Ngày nghỉ lễ,
Paid Holiday,Nghỉ lễ có lương,
Sunday,Chủ nhật,
Monday,Thứ hai,
Tuesday,Thứ ba,
Wednesday,Thứ tư,
Thursday,Thứ năm,
Friday,Thứ sáu,
Saturday,Thứ bảy,
January,Tháng một,
February,Tháng hai,
March,Tháng ba,
April,Tháng tư,
May,Tháng năm,
June,Tháng sáu,
July,Tháng bảy,
August,Tháng tám,
September,Tháng chín,
October,Tháng mười,
November,Tháng mười một,
December,Tháng mười hai,
Probation Period,Thời gian thử việc,
Permanent Employee,Nhân viên chính thức,
Temporary Employee,Nhân viên tạm thời,
Contract Employee,Nhân viên hợp đồng,
Intern,Thực tập sinh,
Employee Status,Trạng thái nhân viên,
Left,Đã nghỉ việc,
Suspended,Bị đình chỉ,
Working,Đang làm việc,
Promotion,Thăng chức,
Resignation,Đơn xin nghỉ việc,
Termination,Chấm dứt hợp đồng,
Retirement,Nghỉ hưu,
Benefit,Phúc lợi,
Benefits,Các phúc lợi,
Employee Benefit,Phúc lợi nhân viên,
Retention,Giữ chân,
Performance,Hiệu suất,
Evaluation,Đánh giá,
Score,Điểm số,
Rating,Xếp hạng,
Feedback,Phản hồi,
Training,Đào tạo,
Certification,Chứng chỉ,
Course,Khóa học,
Skill Map,Bản đồ kỹ năng,
# ======================================================================
# Sales & Quotation
# ======================================================================
Valid Till,Hiệu lực đến,
Validity,Hiệu lực,
Transaction Type,Loại giao dịch,
Order Type,Loại đơn hàng,
Shopping Cart,Giỏ hàng,
Checkout,Thanh toán,
Order Confirmation,Xác nhận đơn hàng,
Credit Limit,Hạn mức tín dụng,
Customer Credit,Tín dụng khách hàng,
Aging,Tuổi nợ,
AR Aging,Tuổi nợ phải thu,
AP Aging,Tuổi nợ phải trả,
Collection,Thu hồi công nợ,
Dunning Letter,Thư nhắc nợ,
Statement of Accounts,Bảng sao kê tài khoản,
# ======================================================================
# Projects & Tasks
# ======================================================================
Project Manager,Quản lý dự án,
Project Name,Tên dự án,
Project Status,Trạng thái dự án,
Project Value,Giá trị dự án,
Project Budget,Ngân sách dự án,
Project Progress,Tiến độ dự án,
Task Name,Tên công việc,
Task Type,Loại công việc,
Task Status,Trạng thái công việc,
Task Priority,Độ ưu tiên công việc,
Task Assignee,Người được giao,
Task Due Date,Hạn chót công việc,
Parent Task,Công việc cha,
Subtask,Công việc con,
Dependency,Phụ thuộc,
Dependencies,Các phụ thuộc,
Timeline,Dòng thời gian,
Gantt,Biểu đồ Gantt,
Kanban,Kanban,
Calendar,Lịch,
# ======================================================================
# Portal / Website
# ======================================================================
Portal,Cổng thông tin,
Portal User,Người dùng cổng thông tin,
Web Page,Trang web,
Blog Post,Bài viết blog,
Blog Category,Danh mục blog,
Blog Settings,Cài đặt blog,
Sidebar,Thanh bên,
Navbar,Thanh điều hướng,
Footer,Chân trang,
Header,Tiêu đề,
Banner,Biểu ngữ,
Hero,Hero,
Landing Page,Trang đích,
About Us,Về chúng tôi,
Contact Us,Liên hệ,
FAQ,Câu hỏi thường gặp,
# ======================================================================
# System / Admin
# ======================================================================
System,Hệ thống,
Administration,Quản trị,
Admin,Quản trị viên,
Role Profile,Hồ sơ vai trò,
User Permission,Quyền người dùng,
Permission Manager,Quản lý phân quyền,
Audit Trail,Nhật ký kiểm toán,
Audit Log,Nhật ký kiểm toán,
